Channel,X,Y,Z,Volume,Intensity
0,13.78577778,65.33511111,1,0.175212822,88.88888889
0,22.776,100.672,0.9,0.012436286,82
0,55.12,15.132,0.1,0.006769457,78.665
0,54.392,83.824,0,0.039662387,90.54
0,7.956,96.564,1.4,0.006769457,85.125
0,65.208,51.688,0.2,0.054155652,85.38
0,133.12,14.872,0.6,0.026758627,90.25
0,89.336,34.424,0,0.026758627,83.2
0,62.51885714,22.88,0.3,0.099490286,93.14428571
0,100.4986667,72.34933333,0.1,0.035175128,106.64
0,97.708,62.764,1.3,0.022846916,84.635
0,100.152,67.496,0.5,0.019146915,81.62
0,25.792,50.336,1.3,0.022846916,85.11
0,81.25866667,62.4,1.4,0.019146915,88.61333333
0,80.08,29.64,1.1,0.035175128,78.83
0,28.808,95.472,0.1,0.006769457,75.5
0,16.952,105.248,0.8,0.049158736,96.445
0,90.168,55.12,0.3,0.006769457,77.5
0,47.216,50.856,0.3,0.026758627,81.5
0,104.416,53.092,0.8,0.006769457,81.305
0,132.392,12.376,0.8,0.026758627,79.1
0,115.752,6.656,1.3,0.035175128,80.17
0,25.168,3.917333333,0.1,0.026758627,78.14
0,66.352,19.552,0.2,0.006769457,80.25
0,131.352,102.336,1.5,0.006769457,94
0,139.568,66.144,1,0.012436286,89.5
0,45.656,100.256,0.4,0.035175128,76.42
0,40.04,13.572,1.5,0.064620837,84.39
0,43.264,62.192,1.4,0.006769457,87.86666667
0,112.528,11.648,1.1,0.006769457,82.5
0,100.464,87.048,0.2,0.006769457,92.5
0,34.164,31.5016,0.5,0.039662387,93.572
0,26.29714286,77.73257143,0.3,0.081431561,87.92714286
0,36.504,30.16,1.2,0.006769457,82.5
0,113.62,51.74,1.5,0.039662387,93.025
0,48.802,25.506,0.7,0.026758627,91.3675
0,125.216,87.776,0.4,0.006769457,82.5
0,89.96,1.664,1.3,0.049158736,81.93
0,118.248,48.672,1.1,0.006769457,87
0,131.352,58.968,0.9,0.006769457,82.5
0,60.84,62.816,1.5,0.035175128,90.5
0,107.432,54.288,0,0.022846916,86.44
0,84.032,64.064,1.4,0.022846916,84.17
0,112.6088889,47.53955556,0.4,0.112182171,128.9711111
0,107.796,19.422,1.3,0.006769457,86.7375
0,77.48,53.976,0,0.026758627,93.5
